event_id,event_class,terminal_label,anchor_date,profile,bucket,bucket_start,bucket_end,total_rows,data_insufficient_rows,classified_rows,normal_bull_count,normal_bull_fraction,btc_leadership_maturing_count,btc_leadership_maturing_fraction,late_bull_rotation_count,late_bull_rotation_fraction,exhaustion_watch_count,exhaustion_watch_fraction,de_risk_1_count,de_risk_1_fraction,de_risk_2_count,de_risk_2_fraction,flat_count,flat_fraction,de_risk_1_or_worse_fraction,de_risk_2_or_worse_fraction
P5E-2025-AUG-NEW-HIGH,SECOND_WIND_NEW_HIGH_PHASE,False,2025-08-13,EARLY,early_warning,2025-07-16,2025-07-29,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,1
P5E-2025-AUG-NEW-HIGH,SECOND_WIND_NEW_HIGH_PHASE,False,2025-08-13,EARLY,target_lead,2025-07-30,2025-08-06,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,1
P5E-2025-AUG-NEW-HIGH,SECOND_WIND_NEW_HIGH_PHASE,False,2025-08-13,EARLY,near_event,2025-08-07,2025-08-13,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1
P5E-2025-AUG-NEW-HIGH,SECOND_WIND_NEW_HIGH_PHASE,False,2025-08-13,EARLY,immediate_after,2025-08-14,2025-09-10,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,28,1,1,1
P5E-2025-AUG-NEW-HIGH,SECOND_WIND_NEW_HIGH_PHASE,False,2025-08-13,EARLY,medium_after,2025-09-11,2025-11-11,62,0,62,0,0,0,0,0,0,0,0,0,0,0,0,62,1,1,1
P5E-2025-AUG-NEW-HIGH,SECOND_WIND_NEW_HIGH_PHASE,False,2025-08-13,BALANCED,early_warning,2025-07-16,2025-07-29,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,1
P5E-2025-AUG-NEW-HIGH,SECOND_WIND_NEW_HIGH_PHASE,False,2025-08-13,BALANCED,target_lead,2025-07-30,2025-08-06,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,1
P5E-2025-AUG-NEW-HIGH,SECOND_WIND_NEW_HIGH_PHASE,False,2025-08-13,BALANCED,near_event,2025-08-07,2025-08-13,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1
P5E-2025-AUG-NEW-HIGH,SECOND_WIND_NEW_HIGH_PHASE,False,2025-08-13,BALANCED,immediate_after,2025-08-14,2025-09-10,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,28,1,1,1
P5E-2025-AUG-NEW-HIGH,SECOND_WIND_NEW_HIGH_PHASE,False,2025-08-13,BALANCED,medium_after,2025-09-11,2025-11-11,62,0,62,0,0,0,0,0,0,0,0,0,0,0,0,62,1,1,1
