date,refit_date,monthly_core_scale,monthly_approved_extra,daily_implied_extra,daily_actual_extra,daily_cap_binding,daily_reduction_vs_monthly,daily_total_scale,daily_btc_trend,daily_p_bad,daily_downside_semivol30,daily_downside_scaler
2023-03-22,2023-03-09,0.9999999999998558,0.09392675904297297,0.2344512186524029,0.09392675904297297,False,0.0,1.0939267590428288,0.6903086822038345,0.3207351299598052,0.3579138993964057,1.0
2023-03-23,2023-03-09,0.9999999999998558,0.09392675904297297,0.2588632405241157,0.09392675904297297,False,0.0,1.0939267590428288,0.7621864516820912,0.3207351299598071,0.35363166095705567,1.0
2023-03-24,2023-03-09,0.9999999999998558,0.09392675904297297,0.2287570785079178,0.09392675904297297,False,0.0,1.0939267590428288,0.6735430863497534,0.3207351299598071,0.3669207493962901,1.0
2023-03-25,2023-03-09,0.9999999999998558,0.09392675904297297,0.22386954927221547,0.09392675904297297,False,0.0,1.0939267590428288,0.6591524430196908,0.32073512995982983,0.3652396066171653,1.0
2023-03-26,2023-03-09,0.9999999999998558,0.09392675904297297,0.23057106110761147,0.09392675904297297,False,0.0,1.0939267590428288,0.6788841033218064,0.3207351299598318,0.3477201972840791,1.0
2023-03-27,2023-03-09,0.9999999999998558,0.09392675904297297,0.21548711120722233,0.09392675904297297,False,0.0,1.0939267590428288,0.634471531541027,0.3207351299629171,0.36371875805564313,1.0
2023-03-28,2023-03-09,0.9999999999998558,0.09392675904297297,0.22358717366562422,0.09392675904297297,False,0.0,1.0939267590428288,0.6583210277158132,0.32073512996718906,0.36371875805564313,1.0
2023-03-29,2023-03-09,0.9999999999998558,0.09392675904297297,0.24593377859069793,0.09392675904297297,False,0.0,1.0939267590428288,0.7241174670972711,0.32073512996017395,0.36359968578864543,1.0
2023-03-30,2023-03-09,0.9999999999998558,0.09392675904297297,0.2357625247613994,0.09392675904297297,False,0.0,1.0939267590428288,0.6941696388557025,0.32073512996033665,0.36197202320448074,1.0
2023-03-31,2023-03-09,0.9999999999998558,0.09392675904297297,0.25232349407681126,0.09392675904297297,False,0.0,1.0939267590428288,0.7429310868447025,0.32073512996083503,0.36197202320448074,1.0
2023-04-01,2023-03-09,0.9999999999998558,0.09392675904297297,0.24935350323249433,0.09392675904297297,False,0.0,1.0939267590428288,0.7341863659797451,0.3207351299700557,0.3611626722182731,1.0
2023-04-02,2023-03-09,0.9999999999998558,0.09392675904297297,0.22958027628982383,0.09392675904297297,False,0.0,1.0939267590428288,0.6759668765944457,0.3207351299624013,0.3209565218861121,1.0
2023-04-03,2023-03-09,0.9999999999998558,0.09392675904297297,0.22248584186399706,0.09392675904297297,False,0.0,1.0939267590428288,0.6550783109426254,0.32073512999124976,0.32428364047462555,1.0
2023-04-04,2023-03-09,0.9999999999998558,0.09392675904297297,0.23228401369482432,0.09392675904297297,False,0.0,1.0939267590428288,0.6839276516426152,0.3207351299894399,0.32428364047462555,1.0
2023-04-05,2023-03-09,0.9999999999998558,0.09392675904297297,0.22352688545392913,0.09392675904297297,False,0.0,1.0939267590428288,0.6581435175843874,0.32073513000827075,0.324268351723124,1.0
2023-04-06,2023-03-09,0.9999999999998558,0.09392675904297297,0.20632487699560376,0.09392675904297297,False,0.0,1.0939267590428288,0.6074946198370492,0.3207351299639588,0.3230109619117354,1.0
2023-04-07,2023-03-09,0.9999999999998558,0.09392675904297297,0.20498078190990393,0.09392675904297297,False,0.0,1.0939267590428288,0.6035371206529679,0.32073512996802966,0.3137892128906075,1.0
2023-04-08,2023-04-08,1.0,0.19941999369369875,0.19941999369369875,0.19941999369369875,False,0.0,1.1994199936936987,0.5379077638494829,0.2585346146834931,0.22093680071191935,1.0
2023-04-09,2023-04-08,1.0,0.19941999369369875,0.21848118335070082,0.19941999369369875,False,0.0,1.1994199936936987,0.5893226782461327,0.25853461468370176,0.21791350835526885,1.0
2023-04-10,2023-04-08,1.0,0.19941999369369875,0.25809749624318,0.19941999369369875,False,0.0,1.1994199936936987,0.6961821855856718,0.2585346146826428,0.21791350835526885,1.0
2023-04-11,2023-04-08,1.0,0.19941999369369875,0.2830575531998797,0.19941999369369875,False,0.0,1.1994199936936987,0.763508476066559,0.2585346146826428,0.21791350835526885,1.0
2023-04-12,2023-04-08,1.0,0.19941999369369875,0.26555247429048434,0.19941999369369875,False,0.0,1.1994199936936987,0.7162909545055686,0.25853461468381594,0.22091025293511085,1.0
2023-04-13,2023-04-08,1.0,0.19941999369369875,0.2891148984191924,0.19941999369369875,False,0.0,1.1994199936936987,0.7798473243541241,0.2585346146859201,0.22091025293511085,1.0
