date,btc_log_return_20d,btc_log_return_40d,btc_log_slope_20d_ann,btc_log_slope_40d_ann,btc_kama_gap,btc_kama_slope_10d,btc_distance_from_90d_high,btc_consolidation_duration_5pct,btc_rv20_ann,btc_rv20_to_rv60,btc_daily_rsi14,btc_daily_rsi28,btc_4h_rsi14,btc_4h_rsi28,btc_price_rsi_rank_divergence_20d,btc_rsi14_extreme_persistence_14d,btc_rsi14_failure_from_14d_max,eth_btc_log_return_20d,sol_btc_log_return_20d,bnb_btc_log_return_20d,eth_btc_log_return_40d,sol_btc_log_return_40d,bnb_btc_log_return_40d,brkk_return_dispersion_20d,alt_outperformance_breadth_20d,canonical5_outperformance_breadth_20d,high_beta_participation_20d,breadth_acceleration_10d,breadth_contraction_from_10d_max
2021-10-14,0.292351888425,0.138802542636,7.14067515057,1.58497678766,0.0404814304844,0.193954668835,-0.00214733080048,10,0.647849598352,0.910948982342,68.328034159,62.5057378064,59.4574958059,60.5548373029,0.05,0.142857142857,2.86906839563,-0.0342701245415,-0.216992017737,-0.00600874010139,-0.163477011102,-0.0616441750068,-0.190339090702,0.0890912529731,0,0,0,0,0
2021-10-15,0.36832573344,0.175279459187,7.39845739051,2.03172103641,0.0949172948761,0.193480634099,0,11,0.687621453183,0.944265183051,74.4979572371,66.4650612315,55.9758280548,58.5235890231,0,0.214285714286,0,-0.0875081489672,-0.186567812356,-0.0628537591713,-0.196074962059,-0.0362526307875,-0.237180152364,0.0671479907496,0,0,0,0,0
2021-10-16,0.343896951995,0.144901733475,7.45210241991,2.47348461268,0.0725807229884,0.155953816757,-0.0129206864268,12,0.700197932324,0.965349773958,71.7252490695,65.1504108333,73.0171554395,68.0583434805,0,0.285714285714,2.77270816763,-0.119251605136,-0.194221874977,-0.0407822519179,-0.1698645792,-0.186429331481,-0.207922895332,0.074551983876,0,0,0,0,0
2021-10-17,0.378325907381,0.272253690435,7.23565540978,2.75575853692,0.0678032739584,0.150849512504,-0.00233637661697,13,0.676557972907,0.932734744337,72.6241043503,65.7263132685,64.7495879448,64.2608062186,0,0.357142857143,1.87385288682,-0.104567445537,-0.217627482548,-0.0393021065428,-0.158890794735,-0.352277181567,-0.154762606211,0.0824176875643,0,0,0,0,0
2021-10-18,0.413073907771,0.297602019342,6.69687077866,3.00515644455,0.0611093236498,0.142984757972,0,14,0.646937889967,0.900339745803,73.2984217693,66.1541739852,64.2052088439,63.8021654832,0.05,0.428571428571,1.19953546779,-0.124034424665,-0.240379990583,-0.0372737136404,-0.229668296723,-0.492970309342,-0.141937855461,0.0924906344998,0,0,0,0,0
2021-10-19,0.436979403024,0.326063007054,6.18839000519,3.29273439473,0.0779323231887,0.142672111201,0,15,0.648894547683,0.910695495569,76.2672969694,68.1016329764,60.8759706386,61.9736170827,0,0.5,0,-0.129386882977,-0.295659565259,-0.153726488438,-0.202074644002,-0.513528157981,-0.178887873146,0.104931941284,0,0,0,0,0
2021-10-20,0.409492211062,0.386332227281,5.88848276404,3.54574029949,0.078740003179,0.15942919353,0,16,0.63324425105,0.887390147272,78.2416790234,69.4816506034,70.1937903228,66.7209559267,0,0.5,0,-0.0825163340161,-0.186306218829,-0.152003335586,-0.126456482781,-0.402497824037,-0.164085939373,0.0713273430908,0,0,0,0,0
2021-10-21,0.256097989146,0.319730027345,5.59544867137,3.70299453233,0.0155908665469,0.138418607985,-0.057699676416,0,0.630323906467,0.862260709776,65.2954636013,63.2059849235,69.1841085585,67.0806890073,0.65,0.5,12.946215422,-0.0535641074982,-0.0913223852746,-0.145272009339,-0.104211556718,-0.257687077342,-0.169218220304,0.053068020678,0,0,0,0,0
2021-10-22,0.242183924179,0.276559668376,4.97314318963,3.83186040262,-0.00850801671852,0.1304126985,-0.0805011589904,0,0.642917949129,0.875494727124,61.0000106135,60.9499440701,44.5676739213,53.1640813023,0.5,0.5,17.2416684099,-0.0830327628245,-0.092371131354,-0.126875395861,-0.122252471929,-0.15768708936,-0.135639116411,0.046586047772,0,0,0,0,0
2021-10-23,0.240204440971,0.310219158991,4.33705104792,3.92141742687,0.00121413468372,0.119026305072,-0.0714327163617,0,0.642992228513,0.884040678768,62.0687634211,61.5164799721,38.8130152852,48.1382917943,0.55,0.5,16.1729156023,-0.0419558792593,-0.106376815202,-0.119972477108,-0.0724672004311,-0.156245454653,-0.114251883314,0.0486641593158,0,0,0,0,0
