date,PRICE_ONLY,BINANCE_ALL_PERP_COMMON,HYPERLIQUID_ALL_PERP_NATIVE,BINANCE_COMMON_COMPOUNDED_SENSITIVITY,HYPERLIQUID_COMMON_COMPOUNDED_SENSITIVITY
2024-07-23,39056.4820174501,34804.4637962571,30173.5331036581,34804.4637962571,30171.1100928136
2024-07-24,39115.1103254297,34849.7044862379,30207.7682480315,34849.7044862379,30205.3418747430
2024-07-25,38698.2048070256,34470.9872188409,29877.1421492559,34470.9872188409,29874.7419588833
2024-07-26,40189.3160704333,35793.6498663431,31017.2291289196,35793.6498663431,31014.7364860760
2024-07-27,40259.9932775174,35851.0383367048,31053.7120335605,35851.0383367048,31051.2147914810
2024-07-28,40458.6036639277,36021.4032411426,31188.5188161740,36021.4032411426,31186.0088356193
2024-07-29,39759.8468425653,35392.3859672894,30626.7682373612,35392.3859672894,30624.2997293567
2024-07-30,39605.5322536336,35249.6135511302,30500.1166240560,35249.6135511302,30497.6579820651
2024-07-31,38498.5671158795,34259.8901035294,29640.4235366930,34259.8901035294,29638.0338063789
2024-08-01,38389.1060879173,34154.9902549374,29545.3380188941,34154.9902549374,29542.9551717078
2024-08-02,35836.5923639138,31877.3127998467,27574.4167269732,31877.3127998467,27572.1925507835
2024-08-03,35601.4705266652,31664.4960787799,27388.7586425307,31664.4960787799,27386.5491901729
2024-08-04,34883.6701936282,31022.2806179920,26831.5536242485,31022.2806179920,26829.3888253412
2024-08-05,33886.4212287077,30132.9568360941,26061.2236814089,30132.9568360941,26059.1208840584
2024-08-06,34230.0003456678,30438.0431098190,26323.2893791005,30438.0431098190,26321.1653414579
2024-08-07,34080.7573911063,30305.6956067843,26206.7629849658,30305.6956067843,26204.6482835048
2024-08-08,35194.9419055365,31295.8724844630,27062.4959040129,31295.8724844630,27060.3121059575
2024-08-09,34979.4198858107,31102.5834612613,26897.0034950088,31102.5834612613,26894.8330330291
2024-08-10,35001.0291316078,31122.7920584774,26910.1540385294,31122.7920584774,26907.9823673733
2024-08-11,34442.8120811777,30625.9704650876,26477.1964339251,30625.9704650876,26475.0595245851
2024-08-12,34606.2771801968,30770.2852717662,26599.3496007498,30770.2852717662,26597.2026793061
2024-08-13,34924.1791270025,31052.5722999881,26840.1589167484,31052.5722999881,26837.9924039774
2024-08-14,34215.6833025160,30423.2228360240,26288.3414517545,30423.2228360240,26286.2191453132
2024-08-15,33913.8373360313,30155.9306885404,26052.6095743256,30155.9306885404,26050.5061045888
2024-08-16,34257.1766176600,30463.7775307580,26315.1439037504,30463.7775307580,26313.0192029742
2024-08-17,34414.1050225755,30602.5350948229,26433.0113070392,30602.5350948229,26430.8769889957
2024-08-18,34145.0759992501,30363.3697671357,26223.0823620713,30363.3697671357,26220.9648570005
2024-08-19,34403.2103807796,30594.5615968709,26418.7086542976,30594.5615968709,26416.5752658956
2024-08-20,34295.8283127560,30499.0524648180,26333.5911059211,30499.0524648180,26331.4645030255
2024-08-21,34839.6696124741,30983.6276960826,26748.2925571902,30983.6276960826,26746.1323538867
2024-08-22,34998.7415486655,31127.6158664180,26864.4181520104,31127.6158664180,26862.2483277570
2024-08-23,36744.7527231468,32686.5708263178,28196.9501817174,32686.5708263178,28194.6722795053
2024-08-24,37058.5395535759,32968.4417880321,28426.4246218782,32968.4417880321,28424.1274938643
2024-08-25,36823.1113077017,32760.2784135750,28234.1304266478,32760.2784135750,28231.8478350112
2024-08-26,35947.0019387783,31978.1345137171,27547.8096276604,31978.1345137171,27545.5807720308
2024-08-27,33778.3380063643,30044.0110752084,25877.9992074233,30044.0110752084,25875.9051054319
2024-08-28,33535.4995075728,29828.2128255054,25684.1674505906,29828.2128255054,25682.0886890247
2024-08-29,33459.1029278774,29761.6983497420,25618.7384466662,29761.6983497420,25616.6646851833
2024-08-30,33347.0747550766,29660.9463090211,25527.4068542202,29660.9463090211,25525.3402841470
2024-08-31,33233.1196343212,29558.7556390344,25435.0329415218,29558.7556390344,25432.9736805104
2024-09-01,32122.7622105576,28571.8867104963,24581.2208103078,28571.8867104963,24579.2304537604
2024-09-02,32591.7326799363,28989.4891932467,24937.9207445545,28989.4891932467,24935.9014217152
2024-09-03,31894.5359412478,28367.0863747899,24400.8775920294,28367.0863747899,24398.9016098395
2024-09-04,31687.3039123548,28182.5215535817,24235.5061691537,28182.5215535817,24233.5432985104
2024-09-05,31035.5413767435,27600.9799515043,23729.8961060630,27600.9799515043,23727.9738740915
2024-09-06,30436.8333270905,27068.0442516192,23269.0511155804,27068.0442516192,23267.1660917897
2024-09-07,30478.8275602011,27107.0169934155,23298.4369660624,27107.0169934155,23296.5494427904
2024-09-08,30671.8773534594,27279.7074289060,23443.2311663418,27279.7074289060,23441.3318065685
2024-09-09,31263.8448711457,27808.7233749284,23895.7612962749,27808.7233749284,23893.8252755268
2024-09-10,31443.6999531858,27969.9087119910,24027.4304935560,27969.9087119910,24025.4835932094
2024-09-11,31448.5249204707,27977.4399714777,24027.7528021354,27977.4399714777,24025.8057198965
2024-09-12,32085.6366244070,28545.0088065464,24507.5582005847,28545.0088065464,24505.5719493605
2024-09-13,32759.8320944613,29145.3223990231,25019.3648065102,29145.3223990231,25017.3369654335
2024-09-14,32616.8860614341,29018.9845483169,24906.2875059812,29018.9845483169,24904.2686590331
2024-09-15,32372.1680903944,28801.2741619238,24715.5440872243,28801.2741619238,24713.5405319279
2024-09-16,32109.4424188344,28565.6283385718,24511.1134950805,28565.6283385718,24509.1263436923
2024-09-17,32714.9653187452,29101.9228132418,24970.2744410757,29101.9228132418,24968.2499572232
2024-09-18,33124.9829929192,29465.4766311996,25280.1795162080,29465.4766311996,25278.1297962345
2024-09-19,33656.9309913229,29942.7424468866,25673.0925367039,29942.7424468866,25671.0097938869
2024-09-20,33783.9427991789,30054.8791125934,25761.9388776676,30054.8791125934,25759.8485621956
2024-09-21,34405.3392809839,30604.1858489232,26225.6762265342,30604.1858489232,26223.5476698253
2024-09-22,34470.6646852479,30659.0629408978,26267.6513946061,30659.0629408978,26265.5190910237
2024-09-23,34868.5107479155,31010.8681104854,26563.1793665879,31010.8681104854,26561.0227467676
2024-09-24,35162.8609935062,31270.8161296503,26777.0605796032,31270.8161296503,26774.8859631183
2024-09-25,34322.1801283254,30522.6223960094,26129.6841382266,30522.6223960094,26127.5611974117
2024-09-26,35131.6501309824,31239.6863985899,26733.8185121771,31239.6863985899,26731.6455140180
2024-09-27,35601.5811619332,31654.5505133095,27068.4086027508,31654.5505133095,27066.2050718444
2024-09-28,35458.2004739035,31523.8515701554,26954.3620280946,31523.8515701554,26952.1675523167
2024-09-29,35227.0694294616,31316.6271446616,26766.4155342591,31316.6271446616,26764.2350824584
2024-09-30,33782.4650174142,30029.2278810536,25649.9365247263,30029.2278810536,25647.8437665545
2024-10-01,32511.4676205594,28895.1038188289,24676.5047002795,28895.1038188289,24674.4902339048
2024-10-02,32217.2804813681,28629.0480925714,24449.6898877126,28629.0480925714,24447.6934010919
2024-10-03,32304.9921917325,28707.1166613804,24517.2189139816,28707.1166613804,24515.2163780177
2024-10-04,32970.7869234472,29297.3747488145,25017.5835365947,29297.3747488145,25015.5398179549
2024-10-05,33191.9449257230,29493.8405620972,25177.8390089057,29493.8405620972,25175.7818683246
2024-10-06,33610.8876450364,29864.9058736610,25487.9812104271,29864.9058736610,25485.8983953234
2024-10-07,33274.6647629716,29565.2983951600,25225.4457974806,29565.2983951600,25223.3841050347
2024-10-08,33744.1552894665,29980.4252435102,25581.6129313353,29980.4252435102,25579.5204228863
2024-10-09,33036.9697560812,29366.9688186972,25058.9506799963,29366.9688186972,25056.8966773126
2024-10-10,32934.4724213830,29273.6508204957,24978.0039570357,29273.6508204957,24975.9564668198
2024-10-11,33603.2397254426,29868.0026459219,25483.4856993508,29868.0026459219,25481.3967130717
2024-10-12,33860.7991281473,30095.3173653081,25671.6123855204,30095.3173653081,25669.5076830854
2024-10-13,33718.0939438103,29966.8491471593,25559.1006174619,29966.8491471593,25557.0047057083
2024-10-14,35374.7148815678,31433.8252365269,26808.1603528990,31433.8252365269,26805.9616087893
2024-10-15,35591.1338463804,31618.3568950637,26964.3608483399,31618.3568950637,26962.1489556508
2024-10-16,35814.1589407197,31809.8718220071,27125.3838040136,31809.8718220071,27123.1583553624
2024-10-17,35514.3068291633,31538.8140928616,26893.2771367337,31538.8140928616,26891.0704550442
2024-10-18,35968.0020156607,31936.9313501748,27232.8560262344,31936.9313501748,27230.6212046580
2024-10-19,35923.7363740849,31888.0583961400,27191.1816992237,31888.0583961400,27188.9499406948
2024-10-20,36933.0019174754,32775.4340624553,27940.1494785038,32775.4340624553,27937.8546793772
2024-10-21,36354.7294501711,32252.5803276917,27481.7797865928,32252.5803276917,27479.5197555896
2024-10-22,36523.1480122286,32392.2754619016,27597.8005685205,32392.2754619016,27595.5302216927
2024-10-23,36673.2567019783,32515.6497831090,27692.8752249392,32515.6497831090,27690.5946646472
2024-10-24,37774.4141824349,33481.9236605127,28512.7647235169,33481.9236605127,28510.4159254768
2024-10-25,36210.6367262994,32089.3930828070,27328.2624271423,32089.3930828070,27326.0105121788
2024-10-26,36883.3543186751,32680.2124405279,27827.9188140871,32680.2124405279,27825.6248099916
2024-10-27,37613.6795413858,33321.8192510496,28369.9030682398,33321.8192510496,28367.5639632940
2024-10-28,38317.5440448770,33936.9933287738,28892.0584313542,33936.9933287738,28889.6758900200
2024-10-29,39198.6744975324,34706.9767238405,29540.5404329528,34706.9767238405,29538.1027665597
2024-10-30,38596.1043510575,34163.2028752415,29070.5801951823,34163.2028752415,29068.1796850058
2024-10-31,37366.5324315053,33064.9302520584,28134.0536129420,33064.9302520584,28131.7298687043
2024-11-01,36868.1040646014,32614.0943326428,27743.5327287394,32614.0943326428,27741.2399025219
2024-11-02,36843.7055018517,32583.8584395538,27716.8018126777,32583.8584395538,27714.5108270709
2024-11-03,36281.1768985952,32079.1124622469,27285.4352363823,32079.1124622469,27283.1795480826
2024-11-04,35525.7461378034,31403.6750097680,26709.2377129269,31403.6750097680,26707.0293032788
2024-11-05,36899.2180195187,32611.0805364901,27732.8263593608,32611.0805364901,27730.5328845495
2024-11-06,40759.3649908579,36013.9672949945,30587.1275899448,36013.9672949945,30584.5873236544
2024-11-07,41902.4684190696,37012.8791406548,31414.8416509397,37012.8791406548,31412.2275216495
2024-11-08,42455.9765779700,37490.5491468839,31799.0063532065,37490.5491468839,31796.3555868386
2024-11-09,42506.7489449043,37524.1239561587,31811.5265025281,37524.1239561587,31808.8709949776
2024-11-10,44612.6379902937,39359.3859906144,33336.2992451425,39359.3859906144,33333.5045719843
2024-11-11,48190.7456493640,42489.5945281578,35960.0654270162,42489.5945281578,35957.0398853659
2024-11-12,46863.6773183767,41265.8014603521,34877.3256051797,41265.8014603521,34874.3533722611
2024-11-13,48131.3995334010,42363.0429740170,35776.9901226419,42363.0429740170,35773.9333471936
2024-11-14,46507.2593120675,40921.2706534807,34549.4307302489,40921.2706534807,34546.4770255128
2024-11-15,48481.2308191022,42644.9355172727,35987.5978534497,42644.9355172727,35984.5177294862
2024-11-16,48244.1559080393,42422.2998010443,35782.7820727781,42422.2998010443,35779.7160164329
2024-11-17,47854.8822592845,42064.7107859414,35458.6396756353,42064.7107859414,35455.5961968334
2024-11-18,48226.6438509427,42363.9024649752,35670.6227367703,42363.9024649752,35667.5445368150
2024-11-19,48501.6769236597,42579.1701223661,35814.1899453619,42579.1701223661,35811.0846815979
2024-11-20,48801.3148895940,42829.3681193256,36003.4896774646,42829.3681193256,36000.3628573106
2024-11-21,52009.0350138730,45630.8589997900,38334.9439461750,45630.8589997900,38331.6090476523
2024-11-22,52214.8484425660,45785.4257269111,38433.5056791325,45785.4257269111,38430.1513505183
2024-11-23,51688.6088786212,45302.5666049945,37998.6083991515,45302.5666049945,37995.2828996104
2024-11-24,51529.8319229442,45134.9627584017,37826.9108285077,45134.9627584017,37823.5883377104
2024-11-25,48351.7887466309,42329.9137592192,35453.2907912719,42329.9137592192,35450.1679591515
2024-11-26,47784.4415691675,41804.1845184849,35022.4599232020,41804.1845184849,35019.3740590372
2024-11-27,49809.7886029197,43550.7881834858,36483.4883901742,43550.7881834858,36480.2715633126
2024-11-28,49695.9302169716,43435.5160649616,36387.0671148927,43435.5160649616,36383.8581117496
2024-11-29,50639.5212636075,44236.2154677892,37049.2638045257,44236.2154677892,37045.9932395416
2024-11-30,50092.9043667829,43742.1036153651,36624.0706467378,43742.1036153651,36620.8350926515
2024-12-01,50496.7267506416,44074.6769899505,36898.2337253198,44074.6769899505,36894.9721601126
2024-12-02,48940.7819214692,42683.8268280780,35729.4831672377,42683.8268280780,35726.3200556772
2024-12-03,48920.9431041776,42645.3407190237,35675.4984433389,42645.3407190237,35672.3337671446
2024-12-04,49096.3274292947,42761.6227397523,35741.1842586220,42761.6227397523,35737.9975578233
2024-12-05,48254.2202754645,41966.3614907011,35026.0672133114,41966.3614907011,35022.8970365660
2024-12-06,49645.5225864215,43161.4154760481,35972.2415301279,43161.4154760481,35968.9690750860
2024-12-07,49690.8920597862,43175.6188830059,35959.9781384330,43175.6188830059,35956.6980942734
2024-12-08,50326.8113046653,43705.8014540235,36365.2324343723,43705.8014540235,36361.9033467648
2024-12-09,48418.8942915696,42022.5898627876,34960.3685924789,42022.5898627876,34957.1649153648
2024-12-10,48078.7003918376,41714.8198118008,34692.9422062296,41714.8198118008,34689.7609489476
2024-12-11,50334.4815579242,43658.9168642700,36300.4313111501,43658.9168642700,36297.1009986010
2024-12-12,49776.6535546928,43162.1190651510,35875.4781900877,43162.1190651510,35872.1844887644
2024-12-13,50483.4318037211,43761.8464193231,36368.0671060073,43761.8464193231,36364.7269954547
2024-12-14,50481.3163866964,43748.3078831379,36340.0697062043,43748.3078831379,36336.7292070581
2024-12-15,51996.4477441007,45048.6532971036,37374.7974105368,45048.6532971036,37371.3467535935
2024-12-16,52790.1870539249,45722.9876940207,37892.1885024693,45722.9876940207,37888.6778653345
2024-12-17,52827.5577622104,45742.6064502627,37891.3003706427,45742.6064502627,37887.7867950767
2024-12-18,49876.0632224975,43174.3590134262,35745.7320209249,43174.3590134262,35742.4133675436
2024-12-19,48511.1712709122,41980.2670969710,34751.3514206464,41980.2670969710,34748.1239962275
