date,V1_BASELINE__BTC,V1_BASELINE__ETH,V1_BASELINE__SOL,V1_BASELINE__BNB,V1_BASELINE__XRP,V1_PLUS_FIXED_PANEL_DISP0014__BTC,V1_PLUS_FIXED_PANEL_DISP0014__ETH,V1_PLUS_FIXED_PANEL_DISP0014__SOL,V1_PLUS_FIXED_PANEL_DISP0014__BNB,V1_PLUS_FIXED_PANEL_DISP0014__XRP,V1_PLUS_DYNAMIC_UNIVERSE_DISP0015__BTC,V1_PLUS_DYNAMIC_UNIVERSE_DISP0015__ETH,V1_PLUS_DYNAMIC_UNIVERSE_DISP0015__SOL,V1_PLUS_DYNAMIC_UNIVERSE_DISP0015__BNB,V1_PLUS_DYNAMIC_UNIVERSE_DISP0015__XRP,BRRK0011_BASELINE__BTC,BRRK0011_BASELINE__ETH,BRRK0011_BASELINE__SOL,BRRK0011_BASELINE__BNB,BRRK0011_BASELINE__XRP,BRRK0011_PLUS_FIXED_PANEL_DISP0014__BTC,BRRK0011_PLUS_FIXED_PANEL_DISP0014__ETH,BRRK0011_PLUS_FIXED_PANEL_DISP0014__SOL,BRRK0011_PLUS_FIXED_PANEL_DISP0014__BNB,BRRK0011_PLUS_FIXED_PANEL_DISP0014__XRP,BRRK0011_PLUS_DYNAMIC_UNIVERSE_DISP0015__BTC,BRRK0011_PLUS_DYNAMIC_UNIVERSE_DISP0015__ETH,BRRK0011_PLUS_DYNAMIC_UNIVERSE_DISP0015__SOL,BRRK0011_PLUS_DYNAMIC_UNIVERSE_DISP0015__BNB,BRRK0011_PLUS_DYNAMIC_UNIVERSE_DISP0015__XRP
2025-02-05,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7921829513,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9124111944,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7921829513,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9124111944,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-02-06,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8477923583,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9124111944,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8477923583,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9124111944,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-02-07,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8477923583,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9124111944,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8477923583,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9124111944,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-02-08,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8477923583,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8608121996,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8477923583,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8608121996,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-02-09,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9134669468,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8608121996,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9134669468,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8608121996,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-02-10,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9134669468,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8608121996,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9134669468,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8608121996,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-02-11,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9134669468,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8608121996,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9134669468,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8608121996,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-02-12,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9134669468,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8608121996,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9134669468,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8608121996,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-02-13,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9134669468,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8063055995,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9134669468,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8063055995,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-02-14,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9134669468,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8063055995,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9134669468,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8063055995,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-02-15,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9134669468,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8063055995,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9134669468,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8063055995,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-02-16,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9638580608,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7403360828,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9638580608,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7403360828,0.0000000000,0.0000000000,0.0000000000,0.0000000000
