date,btc_trend,p_riskoff,p_bad,core_meta_scale,core_scale,full_scale_cvar95,full_scale_cdar95,core_full_permission,trend_candidate_extra,pbad_adjusted_extra,downside_semivol30,downside_scaler,extra_scale,total_scale,hmm_converged,pca_variance
2025-04-27,0.4589638334401873,1.9884993510522694e-11,0.06516034594134623,0.9446211978793144,0.9999999999988988,0.17149472855673575,0.210777714432015,True,0.22948191672009366,0.21452879563932914,0.32594538257957445,1.0,0.21452879563932914,1.2145287956382278,True,0.8954359173290947
2025-05-27,0.6699828260484257,2.0495630903628418e-14,0.045153214343998195,0.8948762230575085,0.9999999999999979,0.18180996494965815,0.2214346182283828,True,0.33499141302421287,0.31986547394853176,0.17127362569264498,1.0,0.31986547394853176,1.3198654739485296,True,0.8954785930800392
2025-06-26,0.6637749720384492,2.2989633903047732e-12,0.06073070087502886,0.8993438929319382,0.9999999999997686,0.18130630235777812,0.2205073551062275,True,0.3318874860192246,0.3117317263816257,0.21275704650275568,1.0,0.3117317263816257,1.3117317263813943,True,0.8949267640552697
2025-07-26,0.7023218968778696,4.255917086585174e-17,0.16556025929325716,0.5611444115638733,1.0,0.2842248899909424,0.33501145771233176,True,0.3511609484389348,0.2930226507617187,0.1209616414180738,1.0,0.2930226507617187,1.2930226507617186,True,0.8919251763986669
2025-08-25,0.32980452426172635,4.188401744434193e-05,0.19184446840888872,0.6517476625740528,0.9999854137930242,0.25603930392636076,0.2938897724255411,False,0.16490226213086318,0.1332666753129445,0.25765758237595804,1.0,0.0,0.9999854137930242,True,0.8928064738505548
2025-09-24,0.14917973233354848,2.4467224287185453e-09,0.10478594809184595,0.6406384035944939,0.9999999991207419,0.25846752340702617,0.2989666486925359,False,0.07458986616677424,0.0667738963224449,0.1694618285348608,1.0,0.0,0.9999999991207419,True,0.8890147063374787
2025-10-24,0.1669661836865044,0.0285467005785444,0.23255232587651603,0.5857734680175781,0.988175199219809,0.2799757681403379,0.32273826913745496,False,0.0834830918432522,0.06406890466374109,0.35886041576908434,1.0,0.0,0.988175199219809,True,0.8854595905980911
2025-11-23,-0.6065754557362856,0.9996568471565321,0.9309155749990659,0.0,0.00034315284346786434,0.15676807431707818,0.17993867809693678,False,0.0,0.0,0.4109366115019075,1.0,0.0,0.00034315284346786434,True,0.8844806553034378
2025-12-23,-0.6295484484639027,0.9997076481698958,0.9875435642480479,0.0,0.0002923518301042316,0.15399011955203293,0.18210139485288232,False,0.0,0.0,0.2608997394537489,1.0,0.0,0.0002923518301042316,True,0.8850017180579981
2026-01-22,-0.36404940433980515,0.9996060612139547,0.92020176938092,0.0,0.0003939387860453225,0.14539172524152882,0.17367499668312236,False,0.0,0.0,0.20996797295075123,1.0,0.0,0.0003939387860453225,True,0.8855491509821126
2026-02-21,-0.8069792805367574,0.9999998979517829,0.9468665480944317,0.0,1.0204821709880463e-07,0.13881843432343696,0.16444137292704739,False,0.0,0.0,0.6685393107252887,0.6731092589182249,0.0,1.0204821709880463e-07,True,0.8875227913528063
2026-03-23,-0.5610789752172098,0.9999473525212432,0.11370018294743744,0.9746520444750786,0.9746533789810287,0.16865191758140408,0.20477533399382636,False,0.0,0.0,0.3223103499246488,1.0,0.0,0.9746533789810287,True,0.8901954636543536
2026-04-22,-0.02245347008271173,0.9999774202121992,0.07672384058256347,1.0,1.0,0.15252457050397963,0.19446385526818516,True,0.0,0.0,0.24917941748739714,1.0,0.0,1.0,True,0.892544245045029
2026-05-22,-0.36282911307139815,8.815298314879846e-05,0.03497029668027907,0.9844772703945637,0.9999986316250786,0.15978451038130326,0.2029099502266393,False,0.0,0.0,0.19228898180765125,1.0,0.0,0.9999986316250786,True,0.891618510511327
2026-06-21,-0.696491527667819,0.9997728993273325,0.9929533948629469,0.0,0.00022710067266751288,0.143837933574667,0.17348754159133947,False,0.0,0.0,0.37873482650375107,1.0,0.0,0.00022710067266751288,True,0.8911053275735702
2026-07-21,-0.30475716790612717,0.990399480134371,0.9088907574750528,0.0,0.009600519865629042,0.1357313753484305,0.1633127932529394,False,0.0,0.0,0.20883931958960764,1.0,0.0,0.009600519865629042,True,0.8916646204952757
