date,PIT_ALPHA_TOP1,PIT_ALPHA_TOP2_PRIMARY,PIT_ALPHA_TOP3,PIT_ALPHA_EQUAL_WEIGHT_ALL_ELIGIBLE,BTC_HOLD,BTC_DYNAMIC_GROSS_1_0,FIXED_V1_GROSS_1_0
2023-02-07,8891.7991604456,9139.0535436088,8590.8867587202,6160.7072004260,4028.2093871714,6107.7079403358,10905.5282617844
2023-02-08,8772.1939044702,9011.7346640919,8436.9600969582,5932.8880106090,3980.1179562546,6034.7900787649,10767.3120579271
2023-02-09,8260.6350983252,8467.1312761720,7939.6243463834,5422.0069987083,3777.9055008409,5728.1886832420,10135.1724935493
2023-02-10,8258.9887030286,8420.9655046264,7900.1141803144,5430.8217993699,3748.2387765717,5683.2069879112,10032.6384641813
2023-02-11,8347.0229631425,8518.1430227244,7994.2750755121,5582.1494884511,3789.3797772292,5745.5863709664,10166.2893837267
2023-02-12,8272.5682240898,8437.7223977184,7940.9550549377,5529.3948771004,3775.6851763615,5724.8221518259,10128.2670733880
2023-02-13,8224.5105026046,8287.0699341500,7793.0844112585,5422.7125824434,3774.0264327809,5722.3071084494,9962.5060364275
2023-02-14,8479.8751200635,8599.3392583748,8057.8866596244,5617.5937729535,3847.8413887549,5834.2278527269,10171.9213013892
2023-02-15,9224.1076363085,9293.4870687767,8717.5297386152,6132.3054255877,4216.0252655940,6392.4807566686,11011.3976167806
2023-02-16,8891.2807801534,9092.8294762585,8453.4881167146,5874.4516514823,4076.2661526006,6180.5732409167,10670.0694477032
2023-02-17,9199.4410786290,9554.1244540047,9000.2029520640,6236.2169694430,4258.6499491197,6457.1097501002,11088.6165183296
2023-02-18,9201.3398844610,9502.4885472840,8961.5906094677,6301.6465388182,4269.3927837201,6473.3984009333,11095.2379328172
2023-02-19,9040.2420895321,9362.2923637548,8840.5347760886,6298.7534312044,4206.9619738667,6378.7386858059,10975.1884550174
2023-02-20,9128.6573093949,9425.8656201193,8920.4748644016,6509.6165400668,4305.8348775364,6528.6531417799,11180.9968001884
2023-02-21,8840.4207717374,9154.9240503661,8683.5855600208,6324.4493465315,4238.2302436620,6426.1486988795,10999.8567936149
2023-02-22,8796.8409390338,9154.3825502473,8669.2996723886,6289.9687105424,4191.4405018037,6355.2045024870,10878.4192052205
2023-02-23,8714.2413703280,9020.6435906104,8533.8815906555,6286.8225352975,4149.4935285601,6291.6030764119,10769.5504859489
2023-02-24,8437.6069406372,8655.9796312931,8152.3039430432,5961.8865916244,4018.6469124230,6093.2089912157,10429.9525979886
2023-02-25,8031.7662608390,8388.8634713113,7956.8140220611,5888.2245976095,4013.7556121258,6085.7926355121,10417.2577702631
2023-02-26,8022.5260915450,8399.4976437463,8004.4909429985,6011.7139129887,4082.7018003694,6190.3311887295,10596.1999592298
2023-02-27,7970.4567221040,8287.3236676266,7972.8338874809,6000.6858829702,4071.8237703675,6173.8375500349,10567.9672381791
2023-02-28,7885.1483692231,8073.8856719194,7783.1359067748,5771.0637659417,4011.0690368385,6081.7191587790,10410.2850619093
2023-03-01,8110.1970377997,8152.3540051316,7866.8116894784,6030.2509719362,4095.5488300658,6209.8102916619,10629.5430007257
2023-03-02,8004.3046086815,8034.6048141572,7773.7042046136,5869.1481532824,4067.1837948552,6166.8022615095,10555.9246960738
2023-03-03,7616.1227856191,7718.1449449580,7449.3317744531,5521.7063842473,3874.6204779088,5874.8312175820,10049.6174714559
2023-03-04,7490.9974465185,7602.5918879184,7282.7770655225,5342.3354607345,3873.2737237164,5872.7892231165,10041.0995813877
2023-03-05,7523.9213082450,7675.0938185828,7340.1415185376,5433.6597903814,3887.7760304446,5894.7781133264,10078.6954541313
2023-03-06,7444.2523596653,7675.2176773724,7311.3132048057,5419.2360276643,3884.2678831017,5889.4589411279,10069.6009105155
2023-03-07,7276.8202537085,7519.5272504928,7180.2177704613,5329.5849243134,3847.5155331717,5833.7337794199,9974.3238834265
2023-03-08,6993.7406214733,7058.7395253592,6764.6621221998,5073.4783877556,3762.1483034624,5704.2970851903,9753.0173309746
2023-03-09,6677.3574662206,6711.7269113808,6386.4239923005,4699.1429037303,3529.3314223406,5351.2922195544,9143.8524186406
2023-03-10,6561.1591510435,6609.5285783409,6352.5813634229,4667.7563257944,3492.6674694038,5295.7010883711,9061.7497678694
2023-03-11,6358.9699808791,6373.8158633462,6200.2505080206,4611.6200423503,3545.5392710576,5375.8671104774,9274.9571797599
2023-03-12,7083.3183028288,7293.1190280056,7102.3537903697,5173.3423713132,3812.7027172716,5780.9494051082,9965.7913401125
2023-03-13,7580.5856355769,7891.3909089615,7738.2496862369,5661.7957467863,4179.5277069976,6337.1419182378,10738.8162327689
2023-03-14,7775.1501906697,8113.8791507760,8132.7869373153,5920.6931842474,4276.0589569813,6483.5058793303,10981.4727804464
2023-03-15,7545.1134497548,7753.8943446843,7717.7007465290,5579.7652138648,4209.3712252534,6382.3916746181,10810.2100550893
2023-03-16,7763.8681693349,7964.9380778567,7816.0727738832,5727.2263306806,4332.9744877611,6569.8031409322,11127.6392291157
2023-03-17,8437.1582083775,9025.7437923185,8771.6712287149,6489.2749082213,4748.3276935474,7199.5757841081,12194.3200138056
2023-03-18,8097.0705072545,8589.5555288167,8421.1961361711,6299.0989252127,4663.8063017350,7071.4215780370,11977.2581414388
2023-03-19,8237.9566171970,8603.3386124770,8491.5305357765,6487.1453127553,4848.4658875136,7351.4087162208,12451.4878551255
2023-03-20,7785.0022166278,8114.2451405172,8090.5655160495,6282.6147580244,4804.1183292552,7284.1674415811,12337.5975863539
2023-03-21,7683.8551252484,8052.7118440939,8088.0164940601,6318.3362008806,4871.4491057777,7386.2566526596,12510.5117339620
2023-03-22,7607.8862504704,7874.3257355836,7851.1620502146,6114.1666832010,4723.3408101012,7161.6898224413,12130.1504634808
2023-03-23,7831.2916691726,8077.3471967812,8059.9081513750,6322.1413803343,4904.3709193305,7436.1738249612,12595.0592116860
2023-03-24,7326.7888125799,7584.6394069048,7603.3611012434,5945.5876816794,4758.6129437117,7215.1706298719,12220.7338672759
2023-03-25,7098.8394586921,7265.7105972013,7316.6181411050,5762.8039916607,4760.0827603850,7217.3992158523,12224.5085467068
2023-03-26,7391.6912635480,7720.6058776370,7796.1248283202,6050.8873004628,4847.6304492630,7350.1419963593,12449.3423415810
2023-03-27,7002.7742243619,7288.2313673831,7349.7246642050,5823.4460251480,4701.4911532809,7128.5606303789,12074.0377171299
2023-03-28,7118.1734799216,7262.4677720840,7517.6809664647,6012.8908945926,4725.0914172239,7164.3441524415,12134.6462491237
2023-03-29,7405.7897065773,7525.1451541928,7953.4085348287,6405.2664254142,4913.5902057518,7450.1524202793,12618.7355323143
2023-03-30,7216.1824435139,7278.2459132436,7669.0019299223,6298.3095599206,4858.1132927065,7366.0364397667,12476.2636401635
2023-03-31,7298.0370913685,7349.6443932336,7742.0117263177,6541.7542330963,4933.8279173998,7480.8375263019,12670.7085948555
2023-04-01,7327.9698534792,7295.7936281162,7638.7828478153,6500.7630140123,4931.6387918592,7477.5182997768,12665.0866371654
2023-04-02,7264.5368332520,7049.1495121891,7374.8924824398,6287.2737050987,4882.9580476536,7403.7069013741,12540.0681861094
2023-04-03,7128.3611081268,6918.4385226579,7217.7901291721,6394.4800233861,4818.5027733257,7305.9776244246,12374.5387002652
2023-04-04,7015.2131794599,6843.7022366975,7218.5544894066,6587.6928647509,4881.8487520511,7402.0249496908,12537.2193714446
2023-04-05,7040.1827951144,6890.9800492440,7179.0047015674,6526.0522098496,4882.6356586191,7403.2180841661,12539.2402493474
2023-04-06,6737.2437183277,6606.1511176748,7122.1380898234,6472.9784237002,4859.0301948530,7367.4266779550,12478.6183635349
2023-04-07,6692.3331247902,6549.5886259959,7067.4184918455,6419.4832862889,4836.9326797964,7333.9216748133,12421.8690851573
2023-04-08,6630.0573507414,6435.1070416464,6879.4450293726,6746.5561323705,4842.4878241808,7342.3445734774,12436.1354148459
2023-04-09,6689.9404231486,6511.3776717755,6938.1077904274,6716.7173547729,4909.2847521946,7443.6243453084,12607.6785703966
2023-04-10,7020.0778025617,6966.9944920490,7359.3144223186,6665.5754895839,5136.9642080574,7788.8396722110,13192.3888778028
2023-04-11,7230.1258357627,7068.4614777313,7433.2144303392,6675.4019168206,5234.5614217842,7936.8198837492,13443.0311530311
2023-04-12,7162.0572877006,6993.9422771160,7327.1197226049,6449.9242122240,5180.4225965594,7854.7327574546,13303.9956435696
2023-04-13,7293.7215515620,7044.3482266535,7394.2690122025,6502.4409575251,5264.6198660630,7982.3955182681,13520.2251279016
2023-04-14,7825.1115367221,7457.0227599731,7690.2112910558,6671.4003782284,5280.7549172561,8006.8600311119,13561.6620274558
2023-04-15,7833.6675998737,7471.4032745218,7715.6527699116,6603.7138973207,5250.9703303292,7961.6996284148,13485.1713537057
2023-04-16,8206.4635610979,7690.5308633945,7867.9616707665,6647.6436794529,5252.6273406354,7964.2120437417,13489.4267706112
2023-04-17,7989.1248747077,7486.1631173128,7735.8132470713,6545.1222713066,5101.0732954936,7734.4206511070,13145.8714415564
2023-04-18,8196.4774904523,7554.8045544077,7816.7913369052,6738.6169849854,5265.6892963547,7984.0170248128,13451.4773147640
2023-04-19,7819.5471810093,7075.9613843704,7357.5053696817,6327.3127401397,4991.3275616452,7568.0204405870,12743.8802480092
2023-04-20,7581.3099834474,6877.0592160861,7128.7351461727,6174.5925689492,4895.3994911453,7422.5710407223,12498.9562618001
2023-04-21,7199.7442973494,6388.1113317652,6638.2233133422,5788.0661158126,4725.3982067890,7164.8093172039,12064.9082088347
2023-04-22,7409.0859187597,6683.2064762799,6898.6811745096,5998.0554339157,4821.4233406541,7310.4058878409,12310.0800176696
2023-04-23,7122.1507220921,6383.3561312588,6566.7786477898,5817.6544843929,4782.2080078316,7250.9462677860,12209.9552514219
2023-04-24,7148.2642386890,6445.7929607461,6636.1932929767,5796.6056165951,4768.3990108550,7230.0085973782,12174.6980574906
2023-04-25,7740.8166407758,7065.5708904240,7102.9219451346,6089.1784799105,4905.3034209463,7437.5877155950,12524.2430204450
2023-04-26,7786.7140917379,7316.1070700046,7282.5317679981,6148.3855318975,4925.1494125846,7467.6788824294,12574.9138966234
2023-04-27,8157.8078373040,7616.8590679136,7686.0954110188,6390.7572076897,5108.4397116039,7745.5898615041,13042.8915223102
2023-04-28,7967.9979200927,7496.1590112293,7510.1530427176,6316.4209880268,5080.5218611831,7703.2598681240,12971.6115395499
2023-04-29,7960.2903022692,7411.4066110461,7423.1392992773,6241.0450319658,5066.4390068546,7681.9069658944,12935.6551317813
2023-04-30,7978.3975463253,7351.2732294644,7352.1825062758,6077.1531372345,5066.9173905832,7682.6323075578,12936.8765432945
2023-05-01,7557.6528350101,7082.6003270108,7075.2890795059,5891.5505768047,4864.9995918139,7376.4776804508,12421.3391004645
2023-05-02,7660.9727506169,7046.2956510835,7059.2571423414,6152.9384065534,4969.2733784482,7534.5811386830,12687.5714070927
2023-05-03,7751.1940940357,7292.0675491610,7443.5607791610,6308.7873917869,5031.0299445681,7628.2185425529,12845.2485527902
2023-05-04,7530.2262389588,7091.0775963550,7282.8688829444,6279.8544222860,4998.4443862449,7578.8112118553,12762.0509569689
2023-05-05,7606.3380625808,7135.7422562868,7372.9634646273,6252.1778199578,5114.1317846642,7754.2203760791,13057.4245491547
2023-05-06,7368.1876186054,6836.8634794258,7032.3534922749,5867.4010144660,5000.1845937213,7581.4497735585,12766.4940626181
2023-05-07,7277.7069576224,6617.2868340992,6807.5800815073,5619.0708552203,4927.7163919398,7471.5710237466,12581.4679199963
2023-05-08,6827.5402331938,6164.8300621279,6368.6501475311,5318.4680949799,4795.7604802002,7271.4949868671,12244.5574855563
2023-05-09,6666.7878830459,6091.2214544149,6248.2985935666,5213.6211339347,4788.7372524169,7260.8461302720,12226.6257484144
2023-05-10,6786.5890729827,6251.1562818961,6333.3655770415,5267.2979395792,4783.6206264504,7253.0881281327,12213.5619557089
2023-05-11,6540.7478052555,5884.5652462051,5989.7826488784,4996.5333482853,4674.4018080132,7087.4868446623,11934.7039713744
2023-05-12,6456.8428810833,5914.4771737069,6063.7541839477,5034.2720298399,4644.3104315212,7041.8612772027,11857.8745319567
