date,symbol,selected
2024-01-19,SOLUSDT,True
2024-01-20,ETHUSDT,True
2024-01-20,SOLUSDT,True
2024-01-21,ETHUSDT,True
2024-01-21,SOLUSDT,True
2024-01-22,INJUSDT,True
2024-01-22,SOLUSDT,True
2024-01-23,INJUSDT,True
2024-01-23,SOLUSDT,True
2024-01-24,INJUSDT,True
2024-01-24,SOLUSDT,True
2024-01-25,INJUSDT,True
2024-01-25,SOLUSDT,True
2024-01-26,INJUSDT,True
2024-01-26,SOLUSDT,True
2024-01-27,INJUSDT,True
2024-01-27,SOLUSDT,True
2024-01-28,INJUSDT,True
2024-01-28,SOLUSDT,True
2024-01-29,INJUSDT,True
2024-01-29,SOLUSDT,True
2024-01-30,INJUSDT,True
2024-01-30,SOLUSDT,True
2024-01-31,INJUSDT,True
2024-01-31,SOLUSDT,True
2024-02-01,INJUSDT,True
2024-02-01,SOLUSDT,True
2024-02-02,INJUSDT,True
2024-02-02,SOLUSDT,True
2024-02-03,INJUSDT,True
2024-02-03,SOLUSDT,True
2024-02-04,SOLUSDT,True
2024-02-04,TRXUSDT,True
2024-02-05,SOLUSDT,True
2024-02-05,TRXUSDT,True
2024-02-06,SOLUSDT,True
2024-02-06,TRXUSDT,True
2024-02-07,SOLUSDT,True
2024-02-07,TRXUSDT,True
2024-02-08,SOLUSDT,True
2024-02-08,STXUSDT,True
2024-02-09,SOLUSDT,True
2024-02-09,STXUSDT,True
2024-02-10,SOLUSDT,True
2024-02-10,STXUSDT,True
2024-02-11,SOLUSDT,True
2024-02-11,STXUSDT,True
2024-02-12,SOLUSDT,True
2024-02-12,STXUSDT,True
2024-02-13,SOLUSDT,True
2024-02-13,STXUSDT,True
2024-02-14,SOLUSDT,True
2024-02-14,STXUSDT,True
2024-02-15,SOLUSDT,True
2024-02-15,STXUSDT,True
2024-02-16,SOLUSDT,True
2024-02-16,STXUSDT,True
2024-02-17,SOLUSDT,True
2024-02-17,STXUSDT,True
2024-02-18,SOLUSDT,True
2024-02-18,STXUSDT,True
2024-02-19,SOLUSDT,True
2024-02-19,STXUSDT,True
2024-02-20,SOLUSDT,True
2024-02-20,STXUSDT,True
2024-02-21,SOLUSDT,True
2024-02-21,STXUSDT,True
2024-02-22,SOLUSDT,True
2024-02-22,STXUSDT,True
2024-02-23,SOLUSDT,True
2024-02-23,STXUSDT,True
2024-02-24,SOLUSDT,True
2024-02-24,STXUSDT,True
2024-02-25,ETHUSDT,True
2024-02-25,SOLUSDT,True
2024-02-26,ETHUSDT,True
2024-02-26,SOLUSDT,True
2024-02-27,ETHUSDT,True
2024-02-27,SOLUSDT,True
2024-02-28,RNDRUSDT,True
2024-02-28,SOLUSDT,True
2024-02-29,RNDRUSDT,True
2024-02-29,SOLUSDT,True
2024-03-01,RNDRUSDT,True
2024-03-01,SOLUSDT,True
2024-03-02,RNDRUSDT,True
2024-03-02,SOLUSDT,True
2024-03-03,RNDRUSDT,True
2024-03-03,SOLUSDT,True
2024-03-04,RNDRUSDT,True
2024-03-04,SOLUSDT,True
2024-03-05,RNDRUSDT,True
2024-03-05,SOLUSDT,True
2024-03-06,RNDRUSDT,True
2024-03-06,SOLUSDT,True
2024-03-07,RNDRUSDT,True
2024-03-07,SOLUSDT,True
2024-03-08,RNDRUSDT,True
2024-03-08,SOLUSDT,True
2024-03-09,RNDRUSDT,True
2024-03-09,SOLUSDT,True
2024-03-10,RNDRUSDT,True
2024-03-10,SOLUSDT,True
2024-03-11,RNDRUSDT,True
2024-03-11,SOLUSDT,True
2024-03-12,RNDRUSDT,True
2024-03-12,SOLUSDT,True
2024-03-13,RNDRUSDT,True
2024-03-13,SOLUSDT,True
2024-03-14,RNDRUSDT,True
2024-03-14,SOLUSDT,True
2024-03-15,RNDRUSDT,True
2024-03-15,SOLUSDT,True
2024-03-16,RNDRUSDT,True
2024-03-16,SOLUSDT,True
2024-03-17,RNDRUSDT,True
2024-03-17,SOLUSDT,True
2024-03-18,RNDRUSDT,True
2024-03-18,SOLUSDT,True
2024-03-19,RNDRUSDT,True
2024-03-19,SOLUSDT,True
2024-03-20,RNDRUSDT,True
2024-03-20,SOLUSDT,True
2024-03-21,RNDRUSDT,True
2024-03-21,SOLUSDT,True
2024-03-22,RNDRUSDT,True
2024-03-22,SOLUSDT,True
2024-03-23,RNDRUSDT,True
2024-03-23,SOLUSDT,True
2024-03-24,RNDRUSDT,True
2024-03-24,SOLUSDT,True
2024-03-25,RNDRUSDT,True
2024-03-25,SOLUSDT,True
2024-03-26,RNDRUSDT,True
2024-03-26,SOLUSDT,True
2024-03-27,RNDRUSDT,True
2024-03-27,SOLUSDT,True
2024-03-28,RNDRUSDT,True
2024-03-28,SOLUSDT,True
2024-03-29,RNDRUSDT,True
2024-03-29,SOLUSDT,True
2024-03-30,RNDRUSDT,True
2024-03-30,SOLUSDT,True
2024-03-31,RNDRUSDT,True
2024-03-31,SOLUSDT,True
2024-04-01,RNDRUSDT,True
2024-04-01,SOLUSDT,True
2024-04-02,RNDRUSDT,True
2024-04-02,SOLUSDT,True
2024-04-03,RNDRUSDT,True
2024-04-03,SOLUSDT,True
2024-04-04,RNDRUSDT,True
2024-04-04,SOLUSDT,True
2024-04-05,RNDRUSDT,True
2024-04-05,SOLUSDT,True
2024-04-06,RNDRUSDT,True
2024-04-06,SOLUSDT,True
2024-04-07,RNDRUSDT,True
2024-04-07,SOLUSDT,True
2024-04-08,RNDRUSDT,True
2024-04-08,SOLUSDT,True
2024-04-09,RNDRUSDT,True
2024-04-09,SOLUSDT,True
2024-04-10,RNDRUSDT,True
2024-04-10,SOLUSDT,True
2024-04-11,RNDRUSDT,True
2024-04-11,SOLUSDT,True
2024-04-12,RNDRUSDT,True
2024-04-12,SOLUSDT,True
2024-04-13,RNDRUSDT,True
2024-04-13,SOLUSDT,True
2024-04-14,RNDRUSDT,True
2024-04-14,SOLUSDT,True
2024-04-15,RNDRUSDT,True
2024-04-15,SOLUSDT,True
2024-04-16,RNDRUSDT,True
2024-04-16,SOLUSDT,True
2024-04-17,RNDRUSDT,True
2024-04-17,SOLUSDT,True
2024-04-18,RNDRUSDT,True
2024-04-18,SOLUSDT,True
2024-04-19,RNDRUSDT,True
2024-04-19,SOLUSDT,True
2024-04-20,RNDRUSDT,True
2024-04-20,SOLUSDT,True
2024-04-21,RNDRUSDT,True
2024-04-21,SOLUSDT,True
2024-04-22,RNDRUSDT,True
2024-04-22,SOLUSDT,True
2024-04-23,RNDRUSDT,True
2024-04-23,SOLUSDT,True
2024-04-24,RNDRUSDT,True
2024-04-24,SOLUSDT,True
2024-04-25,RNDRUSDT,True
2024-04-25,SOLUSDT,True
2024-04-26,RNDRUSDT,True
2024-04-26,SOLUSDT,True
2024-04-27,RNDRUSDT,True
2024-04-27,SOLUSDT,True
2024-04-28,RNDRUSDT,True
2024-04-28,SOLUSDT,True
2024-04-29,RNDRUSDT,True
2024-04-29,SOLUSDT,True
2024-04-30,RNDRUSDT,True
2024-04-30,SOLUSDT,True
2024-05-01,RNDRUSDT,True
2024-05-01,SOLUSDT,True
2024-05-02,RNDRUSDT,True
2024-05-02,SOLUSDT,True
2024-05-03,RNDRUSDT,True
2024-05-03,SOLUSDT,True
2024-05-04,RNDRUSDT,True
2024-05-04,SOLUSDT,True
2024-05-05,RNDRUSDT,True
2024-05-05,SOLUSDT,True
2024-05-06,RNDRUSDT,True
2024-05-06,SOLUSDT,True
2024-05-07,RNDRUSDT,True
2024-05-07,SOLUSDT,True
2024-05-08,RNDRUSDT,True
2024-05-08,SOLUSDT,True
2024-05-09,RNDRUSDT,True
2024-05-09,SOLUSDT,True
2024-05-10,RNDRUSDT,True
2024-05-10,SOLUSDT,True
2024-05-11,RNDRUSDT,True
2024-05-11,SOLUSDT,True
2024-05-12,RNDRUSDT,True
2024-05-12,SOLUSDT,True
2024-05-13,RNDRUSDT,True
2024-05-13,SOLUSDT,True
2024-05-14,RNDRUSDT,True
2024-05-14,SOLUSDT,True
2024-05-15,RNDRUSDT,True
2024-05-15,SOLUSDT,True
2024-05-16,RNDRUSDT,True
2024-05-16,SOLUSDT,True
2024-05-17,RNDRUSDT,True
2024-05-17,SOLUSDT,True
2024-05-18,RNDRUSDT,True
2024-05-18,SOLUSDT,True
2024-05-19,RNDRUSDT,True
2024-05-19,SOLUSDT,True
2024-05-20,RNDRUSDT,True
2024-05-20,SOLUSDT,True
2024-05-21,RNDRUSDT,True
2024-05-21,SOLUSDT,True
2024-05-22,RNDRUSDT,True
2024-05-22,SOLUSDT,True
2024-05-23,RNDRUSDT,True
2024-05-23,SOLUSDT,True
2024-05-24,RNDRUSDT,True
2024-05-24,SOLUSDT,True
2024-05-25,RNDRUSDT,True
2024-05-25,SOLUSDT,True
2024-05-26,RNDRUSDT,True
2024-05-26,SOLUSDT,True
2024-05-27,RNDRUSDT,True
2024-05-27,SOLUSDT,True
2024-05-28,RNDRUSDT,True
2024-05-28,SOLUSDT,True
2024-05-29,RNDRUSDT,True
2024-05-29,SOLUSDT,True
2024-05-30,RNDRUSDT,True
2024-05-30,SOLUSDT,True
2024-05-31,RNDRUSDT,True
2024-05-31,SOLUSDT,True
2024-06-01,BNBUSDT,True
2024-06-01,SOLUSDT,True
2024-06-02,BNBUSDT,True
2024-06-02,SOLUSDT,True
2024-06-03,BNBUSDT,True
2024-06-03,SOLUSDT,True
2024-06-04,BNBUSDT,True
2024-06-04,SOLUSDT,True
2024-06-05,BNBUSDT,True
2024-06-05,SOLUSDT,True
2024-06-06,BNBUSDT,True
2024-06-06,SOLUSDT,True
2024-06-07,BNBUSDT,True
2024-06-07,SOLUSDT,True
2024-06-08,BNBUSDT,True
2024-06-08,SOLUSDT,True
2024-06-09,BNBUSDT,True
2024-06-09,SOLUSDT,True
2024-06-10,BNBUSDT,True
2024-06-10,SOLUSDT,True
2024-06-11,BNBUSDT,True
2024-06-11,SOLUSDT,True
2024-06-12,BNBUSDT,True
2024-06-12,SOLUSDT,True
2024-06-13,BNBUSDT,True
2024-06-13,SOLUSDT,True
2024-06-14,BNBUSDT,True
2024-06-14,SOLUSDT,True
2024-06-15,BNBUSDT,True
2024-06-15,SOLUSDT,True
2024-06-16,BNBUSDT,True
2024-06-16,SOLUSDT,True
2024-06-17,BNBUSDT,True
2024-06-17,SOLUSDT,True
2024-06-18,BNBUSDT,True
2024-06-18,SOLUSDT,True
2024-06-19,BNBUSDT,True
2024-06-19,SOLUSDT,True
2024-06-20,BNBUSDT,True
2024-06-20,SOLUSDT,True
2024-06-21,BNBUSDT,True
2024-06-21,SOLUSDT,True
2024-06-22,BNBUSDT,True
2024-06-22,SOLUSDT,True
2024-06-23,BNBUSDT,True
2024-06-23,PEPEUSDT,True
2024-06-24,BNBUSDT,True
2024-06-24,PEPEUSDT,True
2024-06-25,BNBUSDT,True
2024-06-25,PEPEUSDT,True
2024-06-26,BNBUSDT,True
2024-06-26,PEPEUSDT,True
2024-06-27,BNBUSDT,True
2024-06-27,PEPEUSDT,True
2024-06-28,BNBUSDT,True
2024-06-28,PEPEUSDT,True
2024-06-29,BNBUSDT,True
2024-06-29,PEPEUSDT,True
2024-06-30,BNBUSDT,True
2024-06-30,PEPEUSDT,True
2024-07-01,BNBUSDT,True
2024-07-01,PEPEUSDT,True
2024-07-02,BNBUSDT,True
2024-07-02,PEPEUSDT,True
