date,PIT_ALPHA_0018_ELIGIBILITY_EXIT,PIT_ALPHA_0016_DAILY_TOP2,BTC_DYNAMIC_GROSS_1_0,FIXED_V1_GROSS_1_0
2024-12-26,28423.8801881218,18885.6784619737,21130.9731362767,55147.7956543773
2024-12-27,27982.3286173334,18592.2983557005,20801.7223817845,54288.5142000551
2024-12-28,28631.7866403743,19023.8177442048,21022.5295316830,54864.7786012777
2024-12-29,27969.8224063892,18583.9888540734,20678.0071117189,53965.6410228992
2024-12-30,27973.0505947595,18586.1337592438,20469.2928796475,53420.9368227565
2024-12-31,28037.7665464590,18629.1329784590,20642.2268988119,53872.2615151434
2025-01-01,28668.6981317259,19462.2204249234,20866.3032395567,54457.0578787886
2025-01-02,29447.9551521953,20048.4199277197,21394.1827061813,55834.7222564682
2025-01-03,31587.7757436895,20831.5551265233,21656.5540220227,56519.4611758866
2025-01-04,32391.5103341504,20937.2682227838,21666.7718978664,56546.1278762519
2025-01-05,32088.9983311443,20754.9864088307,21698.3409870719,56628.5171571084
2025-01-06,32598.2280421261,21279.6132786696,22552.4755528786,58857.6449020860
2025-01-07,30433.6413619925,19880.7802439083,21387.5252041743,55817.3474504011
2025-01-08,30189.9261617258,20031.6767455536,20969.7217316349,54726.9603499728
2025-01-09,29099.2071671236,19313.5288769593,20416.4475787597,53283.0207014373
2025-01-10,30304.6227358361,19884.2758370130,20895.9333147582,54534.3867042002
2025-01-11,30127.5953330961,20219.3050382381,20868.1121035878,54461.7786677134
2025-01-12,29583.7932624095,19842.4639310274,20855.9949205115,54430.1551389771
2025-01-13,29649.2931259015,19898.3154691433,20854.0184056678,54424.9968135179
2025-01-14,29946.7007811841,20298.6901599832,21300.6666417073,55590.6632261173
2025-01-15,31534.5432247631,21996.6998224731,22169.0294672706,57856.9240059299
2025-01-16,31132.8554238370,22066.1220229943,22056.5159186070,57563.2851777496
2025-01-17,32668.2148542857,22796.8625215805,22958.7817091621,59918.0262075437
2025-01-18,32701.2332542640,22679.9927923145,23064.3906914632,60193.6454389745
2025-01-19,30599.1667560823,21222.6774062380,22353.0527053180,58138.1543102007
2025-01-20,30493.2830480522,21531.7963611957,22557.8602322686,57226.3941106053
2025-01-21,31864.3108526538,22015.2294395261,23414.6022093982,59274.8051452308
2025-01-22,30965.7918687899,21582.7634253326,22876.9813481869,59426.6081661917
2025-01-23,30454.0615888639,21311.9026190836,22921.9117659730,58994.2845952461
2025-01-24,30346.4934527539,21352.4526614523,23133.7165084194,59297.1463634034
