date,profile,market_state,raw_candidate_state,ordinary_inputs_complete,minimum_calibration_depth,mature_texture,rotation,exhaustion,strong_exhaustion,damage,strong_damage,divergence_subchannel,momentum_failure_subchannel,breadth_transition_subchannel
2023-06-21,BALANCED,BTC_LEADERSHIP_MATURING,EXHAUSTION_WATCH,True,365,True,False,True,False,False,False,False,True,True
2023-06-21,EARLY,EXHAUSTION_WATCH,EXHAUSTION_WATCH,True,365,True,False,True,False,False,False,False,True,True
2023-06-22,CONSERVATIVE,EXHAUSTION_WATCH,EXHAUSTION_WATCH,True,365,True,False,True,False,False,False,False,True,True
2023-06-22,BALANCED,EXHAUSTION_WATCH,EXHAUSTION_WATCH,True,365,True,False,True,False,False,False,False,True,True
2023-06-22,EARLY,EXHAUSTION_WATCH,EXHAUSTION_WATCH,True,365,True,False,True,False,False,False,False,True,True
2023-06-23,CONSERVATIVE,EXHAUSTION_WATCH,BTC_LEADERSHIP_MATURING,True,365,True,False,False,False,False,False,False,True,False
2023-06-23,BALANCED,EXHAUSTION_WATCH,EXHAUSTION_WATCH,True,365,True,False,True,False,False,False,False,True,True
2023-06-23,EARLY,EXHAUSTION_WATCH,EXHAUSTION_WATCH,True,365,True,False,True,False,False,False,False,True,True
2023-06-24,CONSERVATIVE,EXHAUSTION_WATCH,BTC_LEADERSHIP_MATURING,True,365,True,False,False,False,False,False,False,True,False
2023-06-24,EARLY,EXHAUSTION_WATCH,EXHAUSTION_WATCH,True,365,True,False,True,False,False,False,False,True,True
2023-06-24,BALANCED,EXHAUSTION_WATCH,BTC_LEADERSHIP_MATURING,True,365,True,False,False,False,False,False,False,True,False
2023-06-25,EARLY,EXHAUSTION_WATCH,EXHAUSTION_WATCH,True,365,True,False,True,False,False,False,True,True,False
2023-06-25,CONSERVATIVE,EXHAUSTION_WATCH,BTC_LEADERSHIP_MATURING,True,365,True,False,False,False,False,False,False,True,False
2023-06-25,BALANCED,EXHAUSTION_WATCH,EXHAUSTION_WATCH,True,365,True,False,True,False,False,False,True,True,False
2023-06-26,EARLY,EXHAUSTION_WATCH,EXHAUSTION_WATCH,True,365,True,False,True,False,False,False,True,True,False
2023-06-26,CONSERVATIVE,EXHAUSTION_WATCH,BTC_LEADERSHIP_MATURING,True,365,True,False,False,False,False,False,True,False,False
2023-06-26,BALANCED,EXHAUSTION_WATCH,EXHAUSTION_WATCH,True,365,True,False,True,False,False,False,True,True,False
2023-06-27,EARLY,EXHAUSTION_WATCH,BTC_LEADERSHIP_MATURING,True,365,True,False,False,False,False,False,True,False,False
2023-06-27,CONSERVATIVE,EXHAUSTION_WATCH,BTC_LEADERSHIP_MATURING,True,365,True,False,False,False,False,False,True,False,False
2023-06-27,BALANCED,EXHAUSTION_WATCH,BTC_LEADERSHIP_MATURING,True,365,True,False,False,False,False,False,True,False,False
2023-06-28,CONSERVATIVE,EXHAUSTION_WATCH,EXHAUSTION_WATCH,True,365,True,False,True,False,False,False,True,True,False
2023-06-28,BALANCED,EXHAUSTION_WATCH,EXHAUSTION_WATCH,True,365,True,False,True,False,False,False,True,True,False
