date,comp_20,weighted_20,comp_60,weighted_60,comp_120,weighted_120,comp_240,weighted_240,aggregate_from_components,short_weighted,long_weighted,long_minus_short,mask20,mask20_60,existing_btc_trend,btc_drawdown_252,btc_fwd_1d,btc_fwd_5d,btc_fwd_10d
2026-03-21,0.36459596736917577,0.05468939510537636,-0.7221604392373779,-0.18054010980934448,-0.5937580702466835,-0.17812742107400503,-0.8933568224662531,-0.2680070467398759,-0.571985182517849,-0.12585071470396814,-0.44613446781388094,-0.3202837531099128,False,False,-0.571985182517849,-0.44714481655248006,-0.015367801675379322,-0.0014192203733938147,-0.009194098736297507
2026-03-22,-0.12353984092456932,-0.018530976138685398,-0.7665771450065572,-0.1916442862516393,-0.6156885049708948,-0.18470655149126844,-0.8980973989709763,-0.26942921969129285,-0.664311033572886,-0.2101752623903247,-0.4541357711825613,-0.24396050879223663,False,False,-0.664311033572886,-0.455640985366907,0.044908560397294295,-0.021393182923414744,0.0037566129769079915
2026-03-23,0.2923726145758123,0.04385589218637185,-0.6870293022657463,-0.17175732556643658,-0.5716773084010793,-0.17150319252032378,-0.872247831056071,-0.26167434931682126,-0.5610789752172098,-0.12790143338006474,-0.4331775418371451,-0.3052761084570803,False,False,-0.5610789752172098,-0.4311946056804451,-0.004931991377371103,-0.06387881497381409,-0.056475257187463046
2026-03-24,-0.2727329273236587,-0.04090993909854881,-0.6972238418782636,-0.1743059604695659,-0.6175235539674633,-0.185257066190239,-0.8831121242328677,-0.2649336372698603,-0.665406603028214,-0.2152158995681147,-0.45019070346009926,-0.23497480389198455,False,False,-0.665406603028214,-0.4339999489806313,0.011051956198656399,-0.06442772157557186,-0.050915617700024174
2026-03-25,0.060768196486010076,0.00911522947290151,-0.6673402093481626,-0.16683505233704066,-0.5725729165835821,-0.17177187497507462,-0.8692977411390814,-0.2607893223417244,-0.5902810201809382,-0.15771982286413916,-0.43256119731679904,-0.2748413744526599,False,False,-0.5902810201809382,-0.42774454120832794,-0.035272531478612756,-0.06363023264518197,-0.056578445853758264
2026-03-26,0.10134723339702052,0.015202085009553078,-0.6796593050699337,-0.16991482626748342,-0.7065305543390894,-0.21195916630172681,-0.8889479718910056,-0.26668439156730167,-0.6333562991269588,-0.15471274125793033,-0.47864355786902846,-0.3239308166110981,False,False,-0.6333562991269588,-0.4479294398923651,-0.035062759816106626,-0.007785928310988455,0.003107658189857032
2026-03-27,-0.11901741124243427,-0.01785261168636514,-0.7709344828443625,-0.19273362071109063,-0.7698555869757687,-0.2309566760927306,-0.9055988812909792,-0.27167966438729374,-0.7132225728774801,-0.21058623239745577,-0.5026363404800244,-0.2920501080825686,False,False,-0.7132225728774801,-0.46728655734296265,-0.00045552234634516076,0.025699591972446312,0.036839033310805736
2026-03-28,0.058216900458427145,0.008732535068764072,-0.7864720188700656,-0.1966180047175164,-0.7640456556631264,-0.22921369669893793,-0.8973222354999553,-0.2691966706499866,-0.6862958369976768,-0.18788546964875233,-0.4984103673489245,-0.3105248977001722,False,False,-0.6862958369976768,-0.4675292202202913,-0.00551546220130672,0.007908760003272342,0.08357092807557076
2026-03-29,-0.3515002819935914,-0.05272504229903871,-0.7947437667488264,-0.1986859416872066,-0.7700394126369529,-0.23101182379108584,-0.8892034560597123,-0.2667610368179137,-0.7491838445952448,-0.2514109839862453,-0.4977728606089995,-0.24636187662275422,False,False,-0.7491838445952448,-0.4704660426794667,0.01191378458082637,0.014442608216548525,0.0766388232978994
2026-03-30,-0.4462109596492899,-0.06693164394739348,-0.6972584153949929,-0.17431460384874822,-0.7468885820095174,-0.2240665746028552,-0.8783961843776066,-0.26351885531328195,-0.7288316777122789,-0.2412462477961417,-0.4875854299161372,-0.24633918211999548,False,False,-0.7288316777122789,-0.46415728918371735,0.022263002270897836,0.0075309851271090356,0.07471252236427883
